"Name","Company","EUROPE_US_OC","EX-EUROPE_US_OC","APAC_OC","EX-APAC_OC","github","linkedin"
"James Black","Novartis",TRUE,FALSE,FALSE,FALSE,"epijim","epijim"
"Paulo Bargo","Revalia",TRUE,FALSE,FALSE,FALSE,NA,"paulo-bargo-phd-10590830"
"Phil Bowsher","Posit",TRUE,FALSE,FALSE,FALSE,"philbowsher","philip-bowsher-67151015"
"Ellis Hughes","GlaxoSmithKline",FALSE,TRUE,FALSE,FALSE,"thebioengineer","ellishughes"
"Harvey Lieberman","Novartis",TRUE,FALSE,FALSE,FALSE,"harveyl888","harvey-lieberman"
"Elena Rantou","FDA",TRUE,FALSE,FALSE,FALSE,NA,"elena-rantou-79a0a339"
"Melvin Munsaka","AbbVie",TRUE,FALSE,FALSE,FALSE,NA,"melvin-munsaka-phd-72461bb"
"Paul Schuette","FDA",TRUE,FALSE,FALSE,FALSE,NA,"paul-schuette-40aa838"
"Michael Blanks","Exelixis",TRUE,FALSE,FALSE,FALSE,NA,"michaelblanks"
"Eric Nantz","Eli Lilly",TRUE,FALSE,FALSE,FALSE,"rpodcast","eric-nantz-6621617"
"Ning Leng","Abbvie",TRUE,FALSE,FALSE,FALSE,"lengning","ning-leng-7b2b354a"
"Satish Murthy","Janssen",TRUE,FALSE,FALSE,FALSE,NA,"satish-murthy-b4236b119"
"Jenna Reps","Johnson & Johnson",FALSE,TRUE,FALSE,FALSE,NA,"jenna-reps-479018100"
"Katie Igartua","Tempus",TRUE,FALSE,FALSE,FALSE,NA,"catherineigartua"
"Jared Woolfolk","Genmab",TRUE,FALSE,FALSE,FALSE,NA,"jared-woolfolk"
"Anna Giczewska","Duke",TRUE,FALSE,FALSE,FALSE,NA,"anna-giczewska-343234155"
"Audrey Yeo","Roche / Genentech",FALSE,TRUE,FALSE,FALSE,"audreyyeoCH","audrey-yeo-8000"
"Edward Lauzier","Merck",FALSE,TRUE,FALSE,FALSE,NA,"edlauzier"
"Volha Tryputsen","Janssen",FALSE,TRUE,FALSE,FALSE,"volha-tryputsen","volha-tryputsen-66566839"
"Bella Feng","EQRx",FALSE,TRUE,FALSE,FALSE,"bellafeng","bellafeng"
"Michael Lawrence","Roche / Genentech",FALSE,TRUE,FALSE,FALSE,"lawremi","michael-lawrence-74a9b482"
"Reinhold Koch","Roche / Genentech",FALSE,TRUE,FALSE,FALSE,"reikoch","reinhold-koch-b8970883"
"Min Lee","Amgen",FALSE,TRUE,FALSE,FALSE,NA,"min-lee-is"
"John Sims","Pfizer",FALSE,TRUE,FALSE,FALSE,NA,"freestyle35"
"Daniella Mark","Procogia",FALSE,TRUE,FALSE,FALSE,NA,"daniellamark"
"Maya Malepati","Procogia",FALSE,TRUE,FALSE,FALSE,NA,"apoorva-malepati"
"Juliane Manitz","EMD Serono",FALSE,TRUE,FALSE,FALSE,NA,"juliane-manitz-943178127"
"Eric Simms","Glaxosmithkline",FALSE,TRUE,FALSE,FALSE,NA,"eric-simms-3897004"
"Shannon Haughton","Glaxosmithkline",TRUE,FALSE,FALSE,FALSE,NA,"shannon-haughton-31a72514a"
"Joanna Moćko-Łazarewicz","Appsilon",FALSE,TRUE,FALSE,FALSE,NA,"joanna-mocko-lazarewicz"
"Victoria Prince","Takeda",TRUE,FALSE,FALSE,FALSE,NA,"viktoriialiublinska"
"Jonathan Tisack","Amgen",TRUE,FALSE,FALSE,FALSE,NA,"jtisack"
"Jeremy Wildfire","Gilead",FALSE,TRUE,FALSE,FALSE,NA,"jeremy-wildfire"
"Daniel Sabanés Bové","RCONIS",FALSE,FALSE,TRUE,FALSE,"danielinteractive","danielsabanesbove"
"Frank Yang","CIMS Global",FALSE,FALSE,TRUE,FALSE,NA,"frank-yang-192559236"
"Harshal Khanolkar","Novo Nordisk",FALSE,TRUE,FALSE,FALSE,NA,"harshal-khanolkar-6a834721"
"Joe Zhu","Roche",FALSE,FALSE,TRUE,FALSE,"shajoezhu","joe-zhu-464b5818"
"Jonathan Carroll","Irregularly Scheduled Programming",FALSE,FALSE,TRUE,FALSE,"jonocarroll","carrolljonathan"
"Smitha Ankinakatte","Syncorp Health Pvt Ltd",FALSE,TRUE,FALSE,FALSE,NA,"smithaankinakatte"
"Steven Ting","Cytel",FALSE,FALSE,TRUE,FALSE,NA,"steven-ting12"
"Yanli Chang","Johnson & Johnson",FALSE,FALSE,TRUE,FALSE,NA,"yanli-chang-00b765145"
"Yuichi Nakajima","GlaxoSmithkline K.K.",FALSE,FALSE,TRUE,FALSE,NA,"yuichi-nakajima-8984759a"
"Xiaolin Song","Takeda",FALSE,FALSE,TRUE,FALSE,"xiaolin-song","xiaolin-sing-133853144"
"Sam Parmar","Pfizer",TRUE,FALSE,FALSE,FALSE,"parmsam","sam-parmar-"
"Rita Pecuch","Takeda",TRUE,FALSE,FALSE,FALSE,"rpecuch","rita-pecuch"
"Natalia Andriychuk","Gilead",TRUE,FALSE,FALSE,FALSE,NA,"natalia-andriychuk-0209b1ba"
