name;role;site_superuser;custom_link;github;linkedin;organising_comm;exec_comm;program_comm
James Black;Roche / Genentech;TRUE;https://epijim.uk;epijim;epijim;TRUE;FALSE;FALSE
Paulo Bargo;Novartis;FALSE;;;paulo-bargo-phd-10590830;TRUE;FALSE;FALSE
Phil Bowsher;posit;TRUE;;philbowsher;philip-bowsher-67151015;TRUE;FALSE;FALSE
Ellis Hughes;GlaxoSmithKline;FALSE;https://twitter.com/ellis_hughes;thebioengineer;ellishughes;TRUE;FALSE;FALSE
Harvey Lieberman;Novartis;TRUE;;harveyl888;harvey-lieberman;TRUE;FALSE;FALSE
Elena Rantou;FDA;FALSE;;;elena-rantou-79a0a339;TRUE;FALSE;FALSE
Melvin Munsaka;AbbVie;FALSE;;;melvin-munsaka-phd-72461bb;TRUE;FALSE;FALSE
Paul Schuette;FDA;FALSE;;;paul-schuette-40aa838;TRUE;FALSE;FALSE
Michael Blanks;Beigene;FALSE;;;michaelblanks;TRUE;FALSE;FALSE
Eric Nantz;Eli Lilly;FALSE;http://www.r-podcast.org;rpodcast;eric-nantz-6621617;TRUE;FALSE;FALSE
Ning Leng;Roche / Genentech;FALSE;;lengning;ning-leng-7b2b354a;TRUE;FALSE;FALSE
Eric Simms;Glaxosmithkline;FALSE;;;eric-simms-3897004;TRUE;FALSE;FALSE
Satish Murthy;Janssen;FALSE;;;satish-murthy-b4236b119;TRUE;FALSE;FALSE
Jenna Reps;Johnson & Johnson;FALSE;;;jenna-reps-479018100;TRUE;FALSE;FALSE
Katie Igartua;Tempus;FALSE;;;catherineigartua;TRUE;FALSE;FALSE
Jared Woolfolk;Cytel;FALSE;;;jared-woolfolk;TRUE;FALSE;FALSE
Audrey Yeo;Roche / Genentech;FALSE;;audreyyeoCH;audrey-yeo-8000;TRUE;FALSE;FALSE
